iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,ntrlbc_avg,ntrlbc_std,uniq_lins,relatedness,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,ntrlabun_avg,ntrlabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std
0,0.1,0.4,40,15415.7,49,50,0.752436,0.168717,0.695233,0.167771,0.376533,0.116747,1,0.995674,-0.0202905,0.0726575,0.0595421,0.11277,18.0194,11.4684,130.083,34.8391,1.44605e+06,1.3644e+06,3.71274e+06,2.26669e+06,3.70473e+06,2.18838e+06,2.26177e+06,6.18,9.56387
0,0.1,0.4,40,15515.8,34,49,0.754548,0.169392,0.696621,0.16856,0.375856,0.117178,1,0.997047,-0.0196093,0.0732369,0.0596459,0.113912,17.5992,11.1974,129.484,34.9375,1.45602e+06,1.37372e+06,3.73746e+06,2.28143e+06,3.72944e+06,2.20276e+06,2.27652e+06,6.30612,9.61972
0,0.1,0.4,40,15615.9,38,50,0.758865,0.164556,0.698817,0.165068,0.357866,0.105329,1,0.997562,-0.0088047,0.0963296,0.0402076,0.117039,16.3393,9.30419,134.543,33.1893,1.46592e+06,1.38297e+06,3.76218e+06,2.29626e+06,3.75405e+06,2.21715e+06,2.29129e+06,6.06,9.9788
0,0.1,0.4,40,15716,44,48,0.76152,0.164354,0.699527,0.165285,0.360389,0.106366,1,0.99668,-0.0154049,0.0907097,0.046475,0.11514,15.8492,9.13659,133.857,33.4542,1.47585e+06,1.3922e+06,3.78682e+06,2.31098e+06,3.77868e+06,2.23137e+06,2.30598e+06,6.3125,10.106
0,0.1,0.4,40,15816.1,47,50,0.764828,0.162163,0.705484,0.162724,0.37461,0.110911,1,0.997578,-0.00673282,0.0799536,0.0416272,0.115196,17.4642,11.8908,130.976,34.7654,1.48522e+06,1.40089e+06,3.81099e+06,2.32577e+06,3.80277e+06,2.24572e+06,2.32074e+06,5.92,10.1486
0,0.1,0.4,40,15916.2,41,50,0.764828,0.162163,0.705484,0.162724,0.37461,0.110911,1,0.997285,-0.00673282,0.0799536,0.0416272,0.115196,17.4642,11.8908,130.976,34.7654,1.4956e+06,1.4106e+06,3.83616e+06,2.34056e+06,3.82792e+06,2.2601e+06,2.33552e+06,5.92,10.1486
0,0.1,0.4,40,16016.3,44,50,0.756182,0.161384,0.698997,0.163987,0.379378,0.112788,1,0.995647,-0.00189941,0.0990685,0.0529037,0.106569,18.5449,11.7692,137.155,39.2066,1.50593e+06,1.42021e+06,3.86136e+06,2.35543e+06,3.85303e+06,2.27447e+06,2.35033e+06,5.96,10.3208
0,0.1,0.4,40,16116.4,32,49,0.757302,0.161184,0.69924,0.164,0.377856,0.112207,1,0.995868,-0.00698026,0.093403,0.052272,0.107559,17.9599,11.1458,137.624,39.4655,1.51598e+06,1.42954e+06,3.88619e+06,2.3702e+06,3.87784e+06,2.28869e+06,2.36507e+06,6.08163,10.39
0,0.1,0.4,40,16216.5,45,50,0.757734,0.161195,0.700922,0.162926,0.388972,0.115583,1,0.996726,-0.00590461,0.0859458,0.00406484,0.124775,20.2344,15.0081,146.183,46.607,1.52586e+06,1.43873e+06,3.91089e+06,2.38503e+06,3.90246e+06,2.30299e+06,2.37985e+06,6.16,10.4659
0,0.1,0.4,40,16316.6,50,47,0.765148,0.160282,0.704779,0.163086,0.388586,0.114767,1,0.997001,-0.00513098,0.0848985,0.0046397,0.126244,18.0311,12.2657,142.622,45.1297,1.53531e+06,1.44767e+06,3.93504e+06,2.39972e+06,3.9266e+06,2.31726e+06,2.39454e+06,6.55319,10.6747
0,0.1,0.4,40,16416.7,44,50,0.766785,0.160375,0.706341,0.162375,0.387606,0.11743,1,0.99586,-0.0131473,0.102185,0.0284221,0.12067,18.9987,13.0011,144.101,45.8604,1.54428e+06,1.45612e+06,3.95875e+06,2.41447e+06,3.95021e+06,2.33148e+06,2.40922e+06,6.42,10.8648
0,0.1,0.4,40,16516.8,54,49,0.769423,0.159313,0.707807,0.161841,0.387603,0.117137,1,0.996179,-0.0111124,0.102214,0.0308186,0.120711,18.6118,12.845,145.069,45.8169,1.55419e+06,1.46534e+06,3.98343e+06,2.42923e+06,3.97487e+06,2.34573e+06,2.42397e+06,6.55102,10.9359
0,0.1,0.4,40,16616.9,61,50,0.783421,0.159911,0.71873,0.162032,0.369483,0.112843,1,0.995473,-0.00310001,0.0930249,0.0143524,0.12693,17.8469,13.2939,139.477,41.0977,1.56384e+06,1.47439e+06,4.00786e+06,2.44402e+06,3.99924e+06,2.35997e+06,2.43871e+06,6.66,11.1474
0,0.1,0.4,40,16717.1,70,48,0.782559,0.16063,0.715366,0.162175,0.372151,0.112239,1,0.996397,-0.00813167,0.0909746,0.0184507,0.126926,16.6984,12.1958,138.108,41.3625,1.57346e+06,1.48344e+06,4.03219e+06,2.45873e+06,4.02355e+06,2.37418e+06,2.45342e+06,6.9375,11.2923
0,0.1,0.4,40,16817.2,53,50,0.759678,0.163148,0.696796,0.162774,0.383913,0.117728,1,0.997463,-0.0085644,0.104435,0.0247048,0.123221,16.4062,9.77042,136.418,42.0151,1.58296e+06,1.4924e+06,4.05654e+06,2.47358e+06,4.04779e+06,2.38851e+06,2.46821e+06,6.9,11.3969
0,0.1,0.4,40,16917.3,38,50,0.759678,0.163148,0.696796,0.162774,0.383913,0.117728,1,0.995253,-0.0085644,0.104435,0.0247048,0.123221,16.4062,9.77042,136.418,42.0151,1.5932e+06,1.50194e+06,4.08155e+06,2.48835e+06,4.0728e+06,2.40268e+06,2.48297e+06,6.9,11.3969
0,0.1,0.4,40,17017.4,61,50,0.77069,0.163005,0.710362,0.162962,0.390259,0.121908,1,0.99734,0.00256725,0.0944234,0.0454694,0.118943,17.6974,11.0677,142.188,45.5833,1.60378e+06,1.51182e+06,4.10694e+06,2.50316e+06,4.09809e+06,2.41685e+06,2.49772e+06,6.56,11.2573
0,0.1,0.4,40,17117.5,57,49,0.770648,0.163769,0.709402,0.163492,0.388408,0.121372,1,0.995825,-0.000364737,0.0931016,0.0489441,0.117611,17.4302,11.0193,142.728,45.8875,1.61335e+06,1.52061e+06,4.13124e+06,2.51789e+06,4.12242e+06,2.43101e+06,2.51248e+06,6.69388,11.3321
