dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4
0.01,0.01,0.4,40,80.5414,62.5515,76,-1.31977,74,1,0,11,10,8,2,3,2,0,0.00761324,1.00716,0,0.0315246,0.000155789,85.3933,73.6551,23.9399,69.2293,94.2245,
0.01,0.01,0.4,40,80.5414,65.4934,78,-0.71466,75,1,1,11,10,9,5,4,3,0,-0.00339168,0.999933,0,0.0283658,0.000141141,85.4054,73.6533,23.9516,69.2326,94.2533,
0.01,0.01,0.4,40,80.5414,65.5516,79,-0.254111,77,2,2,11,9,8,2,3,1,0,0.0120715,0.990703,2,0.0506674,0.000245478,85.418,73.6644,23.9498,69.2164,94.2192,
0.01,0.01,0.4,40,80.5414,63.6554,77,-0.413416,75,2,1,12,10,10,5,2,0,0,0.0232077,0.997004,2,0.0383264,0.000189217,85.4083,73.6459,23.9397,69.2139,94.2224,
0.01,0.01,0.4,40,80.5414,67.0048,81,-0.660337,79,1,1,11,10,9,2,0,0,0,-0.00416872,1.0174,1,0.0476768,0.000249963,85.4099,73.6536,23.9612,69.21,94.215,
0.01,0.01,0.4,40,80.5414,66.2798,80,-0.186805,79,2,0,13,11,11,8,1,0,0,-0.00703143,1.01582,0,0.0423474,0.000229222,85.41,73.6504,23.9591,69.2189,94.2153,
0.01,0.01,0.4,40,80.5414,68.9012,82,-0.654449,77,3,1,12,9,8,3,2,1,0,0.00546608,1.00504,1,0.0418598,0.000156578,85.3987,73.639,23.9515,69.2177,94.2366,
0.01,0.01,0.4,40,80.5414,68.9561,83,-0.680481,81,3,1,10,7,10,4,4,2,0,0.00388685,0.986972,0,0.0352146,0.000228256,85.4021,73.6543,23.9772,69.221,94.2281,
0.01,0.01,0.4,40,80.5414,69.527,84,-0.313779,82,7,2,11,4,8,2,3,1,0,0.0169281,1.00024,1,0.0484358,0.000167427,85.3983,73.6423,23.9594,69.2189,94.2386,
0.01,0.01,0.4,40,80.5414,71.3884,86,-1.26006,85,5,2,11,6,8,1,5,1,0,-0.00876774,1.01929,2,0.0523898,0.00019007,85.3994,73.6425,23.9532,69.2131,94.2238,
